date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:02	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Apr%202026%2018:36:02%20GMT	https://www.gardenia-menu.com/robots.txt		(from )
21:36:03	5546/5546	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Feb%202026%2010:16:18%20GMT	https://www.gardenia-menu.com/	C:/My%20Web%20Sites/test/www.gardenia-menu.com/index.html	(from )
21:36:04	60084/60084	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jul%202023%2011:58:33%20GMT	https://www.gardenia-menu.com/images/og-mage.jpg	C:/My%20Web%20Sites/test/www.gardenia-menu.com/images/og-mage.jpg	(from https://www.gardenia-menu.com/)
21:36:04	189893/189893	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Jul%202023%2013:27:19%20GMT	https://www.gardenia-menu.com/css/bootstrap.css	C:/My%20Web%20Sites/test/www.gardenia-menu.com/css/bootstrap.css	(from https://www.gardenia-menu.com/)
21:36:04	2743/2743	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Jul%202023%2013:27:19%20GMT	https://www.gardenia-menu.com/css/style-main.css	C:/My%20Web%20Sites/test/www.gardenia-menu.com/css/style-main.css	(from https://www.gardenia-menu.com/)
21:36:05	93110/93110	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2017%20Jun%202023%2015:41:38%20GMT	https://www.gardenia-menu.com/js/jquery-1.10.2.min.js	C:/My%20Web%20Sites/test/www.gardenia-menu.com/js/jquery-1.10.2.min.js	(from https://www.gardenia-menu.com/)
21:36:05	2427/2427	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2010:51:23%20GMT	https://www.gardenia-menu.com/apple-icon-57x57.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/apple-icon-57x57.png	(from https://www.gardenia-menu.com/)
21:36:05	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Apr%202026%2018:36:05%20GMT	https://www.gardenia-menu.com/apple-icon-60x60.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/apple-icon-60x60.png	(from https://www.gardenia-menu.com/)
21:36:06	3544/3544	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2010:51:24%20GMT	https://www.gardenia-menu.com/apple-icon-72x72.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/apple-icon-72x72.png	(from https://www.gardenia-menu.com/)
21:36:06	3692/3692	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2010:51:24%20GMT	https://www.gardenia-menu.com/apple-icon-76x76.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/apple-icon-76x76.png	(from https://www.gardenia-menu.com/)
21:36:06	6911/6911	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2010:51:22%20GMT	https://www.gardenia-menu.com/apple-icon-114x114.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/apple-icon-114x114.png	(from https://www.gardenia-menu.com/)
21:36:06	7600/7600	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2010:51:22%20GMT	https://www.gardenia-menu.com/apple-icon-120x120.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/apple-icon-120x120.png	(from https://www.gardenia-menu.com/)
21:36:07	10007/10007	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2010:51:23%20GMT	https://www.gardenia-menu.com/apple-icon-144x144.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/apple-icon-144x144.png	(from https://www.gardenia-menu.com/)
21:36:07	10742/10742	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2010:51:23%20GMT	https://www.gardenia-menu.com/apple-icon-152x152.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/apple-icon-152x152.png	(from https://www.gardenia-menu.com/)
21:36:07	14053/14053	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2010:51:23%20GMT	https://www.gardenia-menu.com/apple-icon-180x180.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/apple-icon-180x180.png	(from https://www.gardenia-menu.com/)
21:36:08	112847/112847	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Feb%202026%2009:08:49%20GMT	https://www.gardenia-menu.com/menu-ar.html	C:/My%20Web%20Sites/test/www.gardenia-menu.com/menu-ar.html	(from https://www.gardenia-menu.com/)
21:36:08	518325/518325	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Jul%202023%2011:58:33%20GMT	https://www.gardenia-menu.com/images/main-logo.png	C:/My%20Web%20Sites/test/www.gardenia-menu.com/images/main-logo.png	(from https://www.gardenia-menu.com/)
21:36:09	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Apr%202026%2018:36:08%20GMT	https://www.gardenia-menu.com/vendor/jquery-3.5.1.min.js	C:/My%20Web%20Sites/test/www.gardenia-menu.com/vendor/jquery-3.5.1.min.js	(from https://www.gardenia-menu.com/)
21:36:09	114043/114043	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Feb%202026%2009:08:48%20GMT	https://www.gardenia-menu.com/menu-en.html	C:/My%20Web%20Sites/test/www.gardenia-menu.com/menu-en.html	(from https://www.gardenia-menu.com/)
21:36:09	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Apr%202026%2018:36:09%20GMT	https://www.gardenia-menu.com/vendor/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/test/www.gardenia-menu.com/vendor/bootstrap/js/bootstrap.min.js	(from https://www.gardenia-menu.com/)
21:36:10	25396811/25396811	---M--	200	added ('OK')	video/mp4	date:Fri,%2014%20Jul%202023%2013:28:36%20GMT	https://www.gardenia-menu.com/images/gardenia.mp4	C:/My%20Web%20Sites/test/www.gardenia-menu.com/images/gardenia.mp4	(from https://www.gardenia-menu.com/)
21:36:10	10943/10943	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Jun%202023%2020:09:35%20GMT	https://www.gardenia-menu.com/css/simple-line-icons/css/simple-line-icons.min.css	C:/My%20Web%20Sites/test/www.gardenia-menu.com/css/simple-line-icons/css/simple-line-icons.min.css	(from https://www.gardenia-menu.com/menu-ar.html)
21:36:10	507/507	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Jun%202023%2020:09:34%20GMT	https://www.gardenia-menu.com/css/reset.css	C:/My%20Web%20Sites/test/www.gardenia-menu.com/css/reset.css	(from https://www.gardenia-menu.com/menu-ar.html)
21:36:11	43168/43168	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Jun%202023%2020:09:33%20GMT	https://www.gardenia-menu.com/css/jquery.mobile.custom.structure.css	C:/My%20Web%20Sites/test/www.gardenia-menu.com/css/jquery.mobile.custom.structure.css	(from https://www.gardenia-menu.com/menu-ar.html)
21:36:11	13934/13934	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Jun%202023%2020:09:34%20GMT	https://www.gardenia-menu.com/css/swiper-bundle.min.css	C:/My%20Web%20Sites/test/www.gardenia-menu.com/css/swiper-bundle.min.css	(from https://www.gardenia-menu.com/menu-ar.html)
21:36:11	3201/3201	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Jun%202023%2020:09:33%20GMT	https://www.gardenia-menu.com/css/jquery.modal.min.css	C:/My%20Web%20Sites/test/www.gardenia-menu.com/css/jquery.modal.min.css	(from https://www.gardenia-menu.com/menu-ar.html)
21:36:11	9580/9580	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Jun%202023%2020:09:32%20GMT	https://www.gardenia-menu.com/css/animations.css	C:/My%20Web%20Sites/test/www.gardenia-menu.com/css/animations.css	(from https://www.gardenia-menu.com/menu-ar.html)
21:36:12	66819/66819	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Jun%202023%2011:27:17%20GMT	https://www.gardenia-menu.com/css/style-1.8.css	C:/My%20Web%20Sites/test/www.gardenia-menu.com/css/style-1.8.css	(from https://www.gardenia-menu.com/menu-ar.html)
